contract_id,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status
MMSI/WORKS/NCB/2082-83/13,Melamchi Municipality Office,Upgrading works of Sindhukhola Giranchaur Mahabhir Road,30000000.0,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/27,Melamchi Municipality Office,"Construction Works Of Gumba, Melamchi -03",2186937.92,Works,NCB,In-Progress
CDRM/OKH/WORKS/NCB/14/2082/083,"Champadevi Rural Municipality, Okhaldhunga",RATMATE MAKUWA KHOLA KALIKA RA FALATE SADAK MARMAT,1729710.2,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/03,Melamchi Municipality Office,Upgrading works of Sotikhola Haibung Road,7484773.79,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/01,Melamchi Municipality Office,Upgrading Works of Melamchi Municipality 15 Bed Hospital Road,16154198.11,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/23,Melamchi Municipality Office,Upgrading Works of Melamchi Daduwa Amphechaur Bhatmase Road,5041175.13,Works,NCB,In-Progress
CDRM/OKH/GOODS/SQ/15./2082/083,"Champadevi Rural Municipality, Okhaldhunga",MASALANDA TATHA KARYALAYA SAMAGRI KHARID BISAYAGAT SAKHA SAMET,997383.2,Goods,Sealed Quotation,Completed
MMSI/WORKS/NCB/2082-83/09,Melamchi Municipality Office,Upgrading works of Dhakal khahare Krishna Mandir Daduwa Road,3824286.82,Works,NCB,In-Progress
CDRM/OKH/GOODS/SQ/16/2082/083,"Champadevi Rural Municipality, Okhaldhunga",Aadharbhut tatha aakasmik swastha sewa ko lagi aausadi kharid,740457.36,Goods,Sealed Quotation,Completed
MMSI/WORKS/NCB/2082-83/18,Melamchi Municipality Office,Upgrading Works of Patigaun 15 No. Dumping Rayamajhitol Sadak,6239824.97,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/20,Melamchi Municipality Office,Neupane Sinchai Kulo Marmat,1909870.31,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/21,Melamchi Municipality Office,Upgrading Works of Sindhukhola Suyalchaap Nibugaun Sadak,1843232.69,Works,NCB,In-Progress
CDRM/OKH/NCB/WORKS/05/2082/083,"Champadevi Rural Municipality, Okhaldhunga","Sinchai pokhari nirman champadevi wad no .4 fediguth, wada no 9 ra wada no 10 raniban",3616448.08,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/19,Melamchi Municipality Office,Infrastructure Development Works of Dhaule Tourism Area,4568828.09,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/31,Melamchi Municipality Office,Construction works of Thakle Bahusaanskritik Bhawan Nirman Melamchi 12,9121234.49,Works,NCB,In-Progress
MMSI/WORKS/NCB/2081-82/36,Melamchi Municipality Office,Infrastructure Development Works of Melamchi Bazar,23567295.13,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/34,Melamchi Municipality Office,"Construction of Dhaule Gumba, ward no 04",2549848.0,Works,NCB,In-Progress
21/NCB/TM/W/2082-83,"Tokha Municipality, Office of the Municipal Executive","Wada bhari sadak kalopatre (Pot Hole Repair), Srijanshil tole sadak storonati and Guras tole Sadak Overley Ward -8",2476553.59,Works,NCB,In-Progress
MMSI/WORKS/NCB/2082-83/33,Melamchi Municipality Office,"Okhreni Chorten Construction, ward no 04",2436641.81,Works,NCB,In-Progress
MMSI/WORKS/SQ/2082-83/06,Melamchi Municipality Office,Upgrading works of Bhemrang Bhirkuna Road,1522723.02,Works,Sealed Quotation,In-Progress
MMSI/WORKS/SQ/2082-83/28,Melamchi Municipality Office,Upgrading works of Okhrenichaur Chankal Chaur Batase Road,1183027.64,Works,Sealed Quotation,In-Progress
MMSI/WORKS/SQ/2082-83/27,Melamchi Municipality Office,Construction works of Chipling Gumba and Chihaan ghat,1324185.52,Works,Sealed Quotation,In-Progress
MMSI/WORKS/SQ/2082-83/30,Melamchi Municipality Office,"Upgrading of Ramchung Chyuning watipang Road, ward 04",842178.77,Works,Sealed Quotation,In-Progress
MMSI/WORKS/SQ/2082-83/11,Melamchi Municipality Office,Construction works of Okhreni Foot Trail,1212590.92,Works,Sealed Quotation,Completed
MMSI/WORKS/SQ/2082-83/13,Melamchi Municipality Office,Gramid Sadak Sarsafai Tatha Shitaruaniti Karya,1409729.09,Works,Sealed Quotation,Completed
03/NCB/TM/W/2082-83,"Tokha Municipality, Office of the Municipal Executive","Bhandari Tole Jane Bato,Nawajyoti Marga,Jyoti Nagar Lagayat Mul Tatha Sahayak Sadakharu Kalopatre,Ward-10",3934017.71,Works,NCB,In-Progress
